game_id,home_team,away_team,home_win_prob
game_1,brazil,kazakhstan,0.72
game_2,netherlands,mongolia,0.73
game_3,peru,rwanda,0.71
game_4,thailand,oman,0.69
game_5,pakistan,germany,0.68
game_6,india,usa,0.65
game_7,panama,switzerland,0.67
game_8,iceland,canada,0.52
game_9,china,france,0.58
game_10,philippines,morocco,0.52
game_11,ethiopia,saudi_arabia,0.54
game_12,singapore,new_zealand,0.49
game_13,guatemala,south_korea,0.59
game_14,uk,mexico,0.56
game_15,vietnam,serbia,0.46
game_16,indonesia,uae,0.6
