rank,team,rating
1,peru,1662.7381475832321
2,netherlands,1634.7506002629557
3,brazil,1616.7463128688817
4,thailand,1598.7570433915887
5,ethiopia,1556.1635457245927
6,panama,1549.6856690663426
7,philippines,1543.5453073010742
8,pakistan,1536.8832441564844
9,iceland,1536.4173631907988
10,india,1530.3430516430033
11,uk,1527.3342859723525
12,indonesia,1525.6902380169197
13,china,1525.4078807824044
14,serbia,1514.484944506302
15,south_korea,1508.3951962442086
16,saudi_arabia,1501.8485114510943
17,singapore,1495.9293872586354
18,oman,1484.4894034041263
19,usa,1472.0195832076045
20,new_zealand,1462.6618273125148
21,germany,1458.377095563629
22,vietnam,1457.7969459108026
23,switzerland,1457.0361135380883
24,canada,1454.607102660556
25,france,1453.654046680566
26,guatemala,1453.4417946337662
27,mexico,1452.4573029638834
28,rwanda,1440.7717176535775
29,uae,1440.6149789433944
30,morocco,1412.239838692405
31,mongolia,1374.1930501988434
32,kazakhstan,1360.5184692153719
